epoch,time,lr,loss,mse,val_loss,val_mse
1,3.859143943991512,0.001,0.9516851772088557,0.9516851772088557,0.7488385197240859,0.7488385197240859
2,3.957552868872881,0.001,0.8518673298414796,0.8518673298414796,0.8377464527497068,0.8377464527497068
3,3.8976398832164705,0.001,0.8240608779713512,0.8240608779713512,0.5955848135752604,0.5955848135752604
4,3.9220815151929855,0.001,0.8710958112031222,0.8710958112031222,0.890413754247129,0.890413754247129
5,3.9209281210787594,0.001,0.7051973827881739,0.7051973827881739,0.5373759065987542,0.5373759065987542
6,3.8837061543017626,0.001,0.7160743836779148,0.7160743836779148,0.46289004201535133,0.46289004201535133
7,3.889716077595949,0.001,0.7709567029029131,0.7709567029029131,0.8663873765151948,0.8663873765151948
8,3.8904526899568737,0.001,0.7342075169086456,0.7342075169086456,0.5075221818406135,0.5075221818406135
9,3.9373774812556803,0.001,0.7252021663822233,0.7252021663822233,0.5520938553614542,0.5520938553614542
10,3.9310379680246115,0.001,0.759609661763534,0.759609661763534,0.6265661658719182,0.6265661658719182
11,3.9536170102655888,0.001,0.6897073961794377,0.6897073961794377,0.6065036968211643,0.6065036968211643
12,3.9717309181578457,0.001,0.7483929765643552,0.7483929765643552,0.8103575823362916,0.8103575823362916
13,3.976714736316353,0.0001,0.7591396100353449,0.7591396100353449,0.6525177718140185,0.6525177718140185
14,3.9811666710302234,0.0001,0.6162957947002724,0.6162957947002724,0.6652452037669718,0.6652452037669718
15,3.9928697431460023,0.0001,0.7057561788475141,0.7057561788475141,0.5419286420801654,0.5419286420801654
16,3.9724906850606203,0.0001,0.6769974823342636,0.6769974823342636,0.7174414206063375,0.7174414206063375
17,3.9703137716278434,0.0001,0.7350907291751355,0.7350907291751355,0.712473530380521,0.712473530380521
18,3.98035268811509,0.0001,0.6915113912895322,0.6915113912895322,0.6326882998691872,0.6326882998691872
19,3.991704836022109,1e-05,0.7436215071473271,0.7436215071473271,0.6729400909971446,0.6729400909971446
20,4.00052324635908,1e-05,0.7223702414892614,0.7223702414892614,0.8015151635161601,0.8015151635161601
